UID,PID,Notebook,Timestamp,interaction_used,Condition,group,highlevel,Data Type,UtteranceType,Utterance,All representations,Python Used,Didn't use interaction,Insight Description,Justification,Was Interaction Used,Was Recapped,Was Vis used,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
53,j2719eertu2,Happiness,1:22:26,FALSE,Interactive,Multi-view Chart,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,it definitely seems like there is a positive trend which we already confirm that the the correlation is 0.78,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness,",,Didn't use,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,correlation_heatmap_j2719eertu2happiness,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)","correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness","visualization, visualization","alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700) correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)"
54,j2719eertu2,Happiness,1:22:39,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),outlier (relationship),"it kind of looks like they're
are some points that Don't necessarily follow that trend. So here's a company or a country country
with
a log Gdp per capita of 5.5,
and if it was to follow the rest of the trend. We might expect the happiness for it to be like
2 or 3
relatively low. But it's up here at 5, so that's Venezuela in 2019.","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",,,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
55,,,1:22:46,TRUE,,scatterplot,RELATIONSHIP,"relationship (multivariate)
",outlier (relationship),"So i'm wondering if like for this point. if there is another variable that explains the better, explains the relationship.",,,,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
56,j2719eertu2,Happiness,1:23:20,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",outlier (relationship),"Oh, interesting. Okay. So all 3 of these are Venezuela, from 2,017 to 2,019.
So yeah, i'm wondering if there's like a different variable that better explains the happiness score rather than GDP","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",,,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
57,j2719eertu2,Happiness,1:23:42,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",outlier (relationship),"And then, similarly, there's a couple of other points over here that have a higher GDP per capital, where you might expect their happiness score to be somewhere between
6.5 and 3.5, but they're all the way down here
at 2.6 and 2.2,
and those are both 11 on between 2020 and 21 so just from this that gave me like a couple interesting potential points to figure out what was going on in Venezuela between those years and also what was going on in in Lebanon.","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",,,,"Tagged as storytelling as it's asking ""what was going on in those countries at the time""",logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
58,j2719eertu2,Happiness,1:24:33,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,the rest of these countries seem to generally  follow the same trend.,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",,,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
59,j2719eertu2,Happiness,1:28:17,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",relationship strength and/or direction,So those points that had an unusually like high happiness score based on Gdp have a pretty high social support.,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query,",df.query,,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,"Yes, used Scatterplot","alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query",visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
60,j2719eertu2,Happiness,1:28:35,FALSE,Interactive,scatterplot,RELATIONSHIP,relationship (categorical X continuous),relationship form (linearity/non-linearity),"So and then you also see that this is like pretty correlated, although it might not be linear. It kind of looks like it's a i'm not forgetting the name of the non-linear relationship.","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",,Didn't use,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)",,,,logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 700, height = 700)"
61,j2719eertu2,Happiness,1:29:40,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",relationship strength and/or direction,So 2005 kind of looks like this relationship doesn't really change too much over time.,"yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness,",,,,Tagged as multivaraite as year was made explicit (in slider),yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness,,,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 500, height = 500)",,,,yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness,visualization,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 500, height = 500)"
62,j2719eertu2,Happiness,1:30:09,FALSE,Interactive,dataframe_heatmap,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score. ","correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness,",,,,,,,"correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness",,"correlation_matrix correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,"correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness","dataframe, visualization"," correlation_matrix correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
63,j2719eertu2,Happiness,1:30:52,TRUE,Interactive,scatterplot,RELATIONSHIP,relationship (continuous X continuous),relationship form (linearity/non-linearity),"So here freedom is like appears very linearly correlated with happiness score. And then as time goes on, that relationship it becomes less obvious particularly in the years like 2014.","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,",,,,,yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,,,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 500)",,,,yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,visualization,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 500)"
64,j2719eertu2,Happiness,1:31:38,TRUE,Interactive,scatterplot,RELATIONSHIP,"relationship (multivariate)
",relationship strength and/or direction,"I'm guessing that if you made a a model of these 2 variables like depending on the year. You might get either get like no correlation or like a negative correlation. I know sometimes certain, like regression models will pick a path through the points that isn't necessarily what you expect.","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,",,,,,yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,,,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 500)",,,,yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,visualization,"alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 500)"
65,j2719eertu2,Happiness,1:34:00,TRUE,Interactive,Multi-view Chart,DATASET,,missing data,"Oh, wow, okay. So
there's a lot more happiness scores as the years go on, and I kind of can't see all of them on that.
I guess the 2,005 they didn't measure happiness score for all the countries","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",,,,,yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,,,"scatter = alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 200) 
 

 profile = alx.profile(df)
 

 barplot = alx.barplot(df,x='country',y='happinessScore',sort='-y',width=1000) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + alx.filter_slider(field='year') + (profile & scatter & barplot)",,,,yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,visualization,"scatter = alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 200) 
 

 profile = alx.profile(df)
 

 barplot = alx.barplot(df,x='country',y='happinessScore',sort='-y',width=1000) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + alx.filter_slider(field='year') + (profile & scatter & barplot)"
66,j2719eertu2,Happiness,1:34:20,TRUE,Interactive,Multi-view Chart,RELATIONSHIP,relationship (categorical X continuous),relationship cluster(s)/subgroup/ unexpected,"Well, the US was third in 2007, and then kind of drops.","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",,,,Tagged as cluster as country matters,yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,,,"scatter = alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 200) 
 

 profile = alx.profile(df)
 

 barplot = alx.barplot(df,x='country',y='happinessScore',sort='-y',width=1000) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + alx.filter_slider(field='year') + (profile & scatter & barplot)",,,,yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,visualization,"scatter = alx.filter_slider(field='year') + alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='freedom',y='happinessScore', width = 500, height = 200) 
 

 profile = alx.profile(df)
 

 barplot = alx.barplot(df,x='country',y='happinessScore',sort='-y',width=1000) # sort descending by the height of the bars
 

 alx.highlight_brush() + alx.tooltip_hover() + alx.filter_slider(field='year') + (profile & scatter & barplot)"
